Проект,Краткое описание,Категории,Цена,Заявки,Link
Доработки сайта на WP,Есть сайт на WP Необходимо сделать автоматическую генерацию страниц для SEO (подстановка городов РФ в метатеги + h1-h3) Например сейчас страница подборки имеет вид site.ru/catalog/?fwp_vacancy_group=r...,['Системы управления (CMS)'],,1 заявка,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/dorabotki-sajta-na-wp-1031170/
Написание текста,Предлагаю услуги рерайтинга и копирайтинга. Перепишу или создам уникальный текст в различных областях. Создаю тематические статьи (контент) для наполнения сайта.,['Копирайтинг'],,нет заявок,https://www.weblancer.net/projects/kopirajting-48/napisanie-teksta-1031169/
Поправить Яндекс Карты на сайте,"palme tta.ru/plu gins/sa lons/salons (пробелы убрать) понять и решить проблему с яндекс картами: раньше работал выбор города и кнопки ""показать все салоны"" и ""моё местоположение"" ц...",['Веб-программирование'],,8 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/popravit-yandeks-karty-na-sajte-1031168/
Написать продающий текст по фондовому рынку,Описать услуги и блог по финансам.Компания специализируется на работе с бирживыми инструментами для юр.лиц,['Продающие тексты'],,11 заявок,https://www.weblancer.net/projects/prodayushie-teksty-95/napisat-prodayushij-tekst-po-fondovomu-rynku-1031166/
Нужен готовый скрипт добавления комментариев,Без mysql. Для статичных html сайтов.,['Веб-программирование'],6$,6 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhen-gotovyj-skript-dobavleniya-kommentariev-1031165/
Подстроить NewsBlog под seobackpack opencart 2.3,"Мне надо помощь с NewsBlog модулем. Кто может помочь со следущими задачами: 1 -запустить модуль. Так как я использую seobackpack (нуленый), а под этот ЧПУ еще не настраивали плагин.2 - шаблон.3 - ну и...",['Системы управления (CMS)'],,4 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/podstroit-newsblog-pod-seobackpack-opencart-2-3-1031164/
Разработать небольшой сайт – сервис.,"ЗадачаТЗ ПО ССЫЛКЕ https://docs.google.com/document/d/1OAbnRpwmUfKvkcuq66jImIq-r2csRlzQqA5UebMFBzU/edit?usp=sharing Желаемый стек для разработки: бэк – laravel (обязательно), фронт – vuejs/jquery, баз...",['Веб-программирование'],,11 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/razrabotat-nebolyshoj-sajt-servis-1031163/
Иллюстраци,"Всем привет, нужна иллюстрация на тему ""работа для студентов"" горизонтальная, примерно 2:1 750 рублей",['Иллюстрации и\xa0Рисунки'],,37 заявок,https://www.weblancer.net/projects/illyustratcii-i-risunki-11/illyustratci-1031162/
Разработка логотипа,"Разработка логотипа на языковую школу : Bright Language Center. Bright (переводиться как мудрый , умный ) - можно также в прямом смысле с эффектом освещения. Цвета :оранжевый , красный (как цвет флага...",['Логотипы и\xa0Знаки'],30$,54 заявки,https://www.weblancer.net/projects/logotipy-i-znaki-7/razrabotka-logotipa-1031157/
Платежный шлюз,"Платежный шлюз для криптовалют Необходимо разработать платежный шлюз для криптовалют, подключив который к своему сайту, клиенты смогут в несколько кликов совершать оплату со своего криптовалютного кош...",['Веб-программирование'],,3 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/platezhnyj-shlyuz-1031155/
Продвижение инструменталов,"Нужно расфасовать по клиентам, которым вам предстоит найти, мысль, что моё творчество - это то, что им нужно. То, за что надо заплатить прямо сейчас! Есть выгодные подробности. Готовы быть гуру продаж...",['Социальные сети (SMM и\xa0SMO)'],,6 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/prodvizhenie-instrumentalov-1031154/
Подключение Ecommerce; Настройка целей,"Есть сайт - шаблонное решение DELUXE, CMS битрикс. Торговый каталог, используемый в шаблоне имеет модификации от создателя шаблона, т. е. для подключения коммерции необходимо дописать код. Необходимо ...",['Веб-программирование'],,6 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/podklyuchenie-ecommerce-nastrojka-tcelej-1031153/
Нужно отключить smoke в игре cs 1.6 (обход античита),Нужно отключить smoke в игре cs 1.6 (обход античита),['Системное программирование'],,3 заявки,https://www.weblancer.net/projects/sistemnoe-programmirovanie-24/nuzhno-otklyuchit-smoke-v-igre-cs-1-6-obhod-antichita-1031152/
Озвучка на английском языке,Нужно озвучить ролик на английском языке без акцента. Мужской голос Пишите цену за 100 слов,['Озвучивание'],,30 заявок,https://www.weblancer.net/projects/ozvuchivanie-42/ozvuchka-na-anglijskom-yazyke-1031151/
Собрать базу данных агентов по недвижимости,Задача Необходимо собрать актуальную базу email адресов и телефонов агентств недвижимости и агентов специализирующихся в КОММЕРЧЕСКОЙ недвижимости по Москве и МО.База предоставляется в xls файле.Необх...,['Базы данных'],,10 заявок,https://www.weblancer.net/projects/bazy-dannyh-25/sobrat-bazu-dannyh-agentov-po-nedvizhimosti-1031150/
Нужен специалист для ведение сайта!,"Нужен опытный веб-мастер, который сможет доработать сайт - https://zerkalo-joycasino.ru/ Сейчас там много чего не работает, структура сайта не верно сложена. Нужно провести аудит сайта и исправить все...",['Тестирование сайтов'],,6 заявок,https://www.weblancer.net/projects/testirovanie-sajtov-37/nuzhen-spetcialist-dlya-vedenie-sajta-1031149/
Нужно разработать плагин для туристического сайта на Вордпресс.,"Основные зaдaчи плaгинa: aвтoгeнeрaция пoсaдoчных стрaниц. Рaбoтa с aПИ lеvel.travel Всeгo дoлжнo быть 6 вклaдoк, 1 стрaницa — этo глaвнaя стрaницa плaгинa с нaстрoйкaми. И 5 вклaдoк oбрaбoтчикoв. Кaж...",['Веб-программирование'],,4 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhno-razrabotat-plagin-dlya-turisticheskogo-sajta-na-vordpress-1031146/
Монтаж видео (Видеокурс подготовки к ЕГЭ по математике),"Привет! Мы - запускающийся проект подготовки к ЕГЭ по математике :) Нам нужен человек, который сможет монтировать наши видео. Длина видео может быть разная, главная задача - вырезать лишние куски, воз...",['Видеомонтаж'],,110 заявок,https://www.weblancer.net/projects/videomontazh-41/montazh-video-videokurs-podgotovki-k-ege-po-matematike-1031141/
Необходимо доработать установщик PowerMTA(bash скрипт),Что необходимо сделать: Необходимо доработать установщик PowerMTA в соответствии с указанной конфигурацией. Необходимая конфигурация указана в записях DNS менеджеров(приложил несколько для примера). С...,['Системное программирование'],,3 заявки,https://www.weblancer.net/projects/sistemnoe-programmirovanie-24/neobhodimo-dorabotat-ustanovshik-powermta-bash-skript-1031140/
Аудит и тестирование python библиотеки,"Направления и области, которые затрагивает библиотека: data science, SVD, нейронные сети, обработка текста, система рекомендаций. Что должно быть в отчете по аудиту и тестированию: - оценка архитектур...",['Тестирование ПО'],250$,4 заявки,https://www.weblancer.net/projects/testirovanie-po-29/audit-i-testirovanie-python-biblioteki-1030967/
Поправки сделать проект на Laravel,Поправки сделать проект на Laravel https://docs.google.com/document/d/1ZLsx2HPAJ1q8QzhDixCwa-Gt66obyFlo12HQl0J5S0A/edit?usp=sharing,['Веб-программирование'],,9 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/popravki-sdelat-proekt-na-laravel-1031137/
Раскрутка сайта,Здравствуйте. В поисках фрилансера! Раскрутка небольшого интернет-магазина.,['Поисковые системы (SEO)'],,38 заявок,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/raskrutka-sajta-1031134/
Создать сайт,"Нужен сайт для диплома по продаже девайсов, адаптивный дизайн, html,css,js базы данных ничего более. Фильтры,корзина и тому подобное. Для более детальной инфы пишите",['Сайты «под ключ»'],,29 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdat-sajt-1031131/
Доработка Агрегатора Такси,"Добрый день!Тема проекта: Доработка готового агрегатора для такси услуг, с поддержкой Android и iOS (для клиентов и для водителей).Есть готовый проект, необходимо настроить проект под регион.Необходим...",['Мобильные приложения'],,5 заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/dorabotka-agregatora-taksi-1031129/
Отрисовать внутренние страницы для сайта,"сайт http://befirst.bed-grafix.com https://docs.google.com/spreadsheets/d/1eiw1O2DcNs9t9yxErJwCcXXlc2avcIguxjfsb_CA8oo/edit#gid=0 макеты, которые отрисованы на первой вкладке внутренние страницы - кот...",['Дизайн сайтов'],,6 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/otrisovat-vnutrennie-stranitcy-dlya-sajta-1031127/
Linkbuilding - backlinks,Linkbuilding для сайта. Важно много беклинков,['Поисковые системы (SEO)'],,10 заявок,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/linkbuilding-backlinks-1031124/
Написать бэк-коннект сервер для приложения,Разработка BackConnect(wiki) сервера на python для ос windows с gui на библиотеке tkinter (или аналогичной легковесной и кроссплатформенной). Схема TCP соединений: Clien -> BC_Server <- Client_V...,['Прикладное ПО'],,4 заявки,https://www.weblancer.net/projects/prikladnoe-po-23/napisat-bek-konnekt-server-dlya-prilozheniya-1031121/
Написание скрипта для авто сообщений,Добрый день.Требуется написать простой скрипт для массовой рассылки на веб-версии в маркетплейсе. Все детали смогу предоставить при личном общение в телеграме.,['Веб-программирование'],,2 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/napisanie-skripta-dlya-avto-soobshenij-1031118/
Доработка CMS на Codeigniter,"Нужно перенести отдельные страницы на главную, т.е. сделать наподобие лэндинга. Большенство блоков останутся без изменений. Сделать возможность добавлять видео с ютуба(вставка ссылок), добавлять докум...",['Системы управления (CMS)'],,2 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/dorabotka-cms-na-codeigniter-1031114/
Мобильное приложение,Сделать мобильное приложение аналогичное www.postando.de,['Мобильные приложения'],,10 заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/mobilynoe-prilozhenie-1031113/
Отдельно аудит и отдельно Корректировка ставок в  Я.директ,Сайт Loftblackout.ru ﻿ Нужен аудит отдельно прошу указать стоимость и Корректировка ставок в Я. Директ прошу отдельно указать стоимость по каждой услуге. Спасибо!,['Контекстная реклама'],,19 заявок,https://www.weblancer.net/projects/kontekstnaya-reklama-88/otdelyno-audit-i-otdelyno-korrektirovka-stavok-v-ya-direkt-1031111/
Нарисовать иллюстрации для видео,Нужно нарисовать иллюстрации и сделать из них видео для ютуб канала по сценарию,['Анимация'],,10 заявок,https://www.weblancer.net/projects/animatciya-39/narisovat-illyustratcii-dlya-video-1031109/
Программа проверки наличия интернета на телефоне,"Добрый день! Есть база номеров телефонов, нужно проверить их на наличие интернета и вывести ответ в столбец рядом с номером телефона.",['Прикладное ПО'],,5 заявок,https://www.weblancer.net/projects/prikladnoe-po-23/programma-proverki-nalichiya-interneta-na-telefone-1031108/
"Сайт ""Стандартный"" сайт по выдаче микрозаймов в режиме онлайн","""Стандартный"" сайт по выдаче микрозаймов в режиме онлайн Вот примеры: kredito24.ru moneyman.ru www.lime-zaim.ru Дизайн – не имеет значение, главное – работающий функционал. Основной функцион...",['Сайты «под ключ»'],,18 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sajt-standartnyj-sajt-po-vydache-mikrozajmov-v-rezhime-onlajn-1031106/
Заполнить сайт контентом,Нужно заполнить сайт на вордпресс контентом. Перед выполнением будьте готовы выполнить тестовое задание. Срочно!,['Наполнение сайтов'],250$,59 заявок,https://www.weblancer.net/projects/napolnenie-sajtov-35/zapolnit-sajt-kontentom-1031102/
Перенос монолитного десктопного приложения на веб,"Сервис управления контентом для производителей кухонного и ресторанного оборудования. На данный момент это монолитное десктопное приложение, которое переносится на веб, используем клауды, и делаем мик...",['Системное программирование'],,4 заявки,https://www.weblancer.net/projects/sistemnoe-programmirovanie-24/perenos-monolitnogo-desktopnogo-prilozheniya-na-veb-1031101/
Сайт,лендинг пейдж сайт визитка,['Сайты «под ключ»'],,79 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sajt-1031099/
Создать логотип и актуальные для аккаунта в Instagram,Разработать лого и 3-4 актуальных для аккаунта узкого профиля.,['Логотипы и\xa0Знаки'],25$,47 заявок,https://www.weblancer.net/projects/logotipy-i-znaki-7/sozdat-logotip-i-aktualynye-dlya-akkaunta-v-instagram-1031098/
Сделать интернет-магазин музыки с плеером,"Смотрите ТЗ, там все подробно описано. В раздел Beats for Sale нужно будет добавить проигрыватель. В качестве примеров своих работ присылайте только похожие проекты и укажите стаж. Срок на выполнение ...",['Интернет-магазины'],62$,6 заявок,https://www.weblancer.net/projects/internet-magaziny-61/sdelat-internet-magazin-muzyki-s-pleerom-1031093/
Необходимо настроить таргет для рекламы  в вк.,"Необходимо настроить таргет для рекламы в вк. Таргетинг ВК не пропускает наши объявления (лазерная эпиляция ), задача будет обойти это ограничение.",['Социальные сети (SMM и\xa0SMO)'],,13 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/neobhodimo-nastroit-target-dlya-reklamy-v-vk-1031096/
Ищу специалиста!,"Приветствую!Ищу специалиста,который сможет сделать шапку и аватарку для ютуб канала по нарезкам cs.go.Так же нужно сделать тип перехода с одного момента на другой+вид превью для ролика.В пример могу п...",['Иллюстрации и\xa0Рисунки'],5$,9 заявок,https://www.weblancer.net/projects/illyustratcii-i-risunki-11/ishu-spetcialista-1031088/
Сведение базы данных,"Задача 1: необходимо свести много файлов в единую базу данных, в которой первый столбик отвечает за коды маркировки (длинный текст), код упаковки (длинный текст), код короба (длинный текст), как показ...",['Базы данных'],,14 заявок,https://www.weblancer.net/projects/bazy-dannyh-25/svedenie-bazy-dannyh-1031085/
SERM интернет-магазина,"Нужно разместить отзывы (релевантные) о нашей сети магазинов DIY товаров. Яндекс справочник Google мой бизнес 2 Гис Условия: 1. Оплату производим за определенный период за кол-во размещенных отзывов, ...",['Наполнение сайтов'],,10 заявок,https://www.weblancer.net/projects/napolnenie-sajtov-35/serm-internet-magazina-1031084/
Создать маску для Instagram или Facebook.,Нужно создать маску для Instagram или Facebook. Требуется исполнитель с портфолио.Есть возможность долговременного сотрудничества после успешной реализации первого проекта. Работа должна быть выполнен...,['Социальные сети (SMM и\xa0SMO)'],31$,11 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/sozdat-masku-dlya-instagram-ili-facebook-1031082/
Обработка фотографий .,Привет всем ! Мне нужна профессиональная обработка фотографий предметов прикладного искусства ( керамическая скульптура ) для моего сайта . Ищу кого то с хорошим вкусом . Задача - поменять фон на град...,['Обработка фотографий'],,58 заявок,https://www.weblancer.net/projects/obrabotka-fotografij-21/obrabotka-fotografij-1031081/
Нужно сделать хлебные крошки на опенкарте,На опенкарте был изменен уровень вложенности категорий на такой вид: site.ru/category/категория/ site.ru/category/подкатегория/ site.ru/category/подкатегория-3-уровня/ Из за этого хлебные крошки перес...,['Веб-программирование'],,4 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhno-sdelat-hlebnye-kroshki-na-openkarte-1031080/
Отправка формы c файлами на vuematerial.io,"Написать на https://vuematerial.io/components/file отправку формы с двумя инпутами множественного выбора файлов. Нужно использовать стандартный функционал (типа, данные из this.$emit('md-change...",['Веб-программирование'],,1 заявка,https://www.weblancer.net/projects/veb-programmirovanie-31/otpravka-formy-c-fajlami-na-vuematerial-io-1031074/
Каталог корпусной мебели,"Нужно сделать каталог корпусной мебели, понятный, и что бы глаз радовал пользователю!",['Верстка полиграфии'],,44 заявки,https://www.weblancer.net/projects/verstka-poligrafii-10/katalog-korpusnoj-mebeli-1031073/
Дизайн сайта на вордпресс,"Нарисовать и сверстать правильный дизайн на сайте вордпресс об имидже. Дизайн должен быть такой, чтобы пользователь правильно ориентировался на сайте. Сайт об имидже, психологии. Услуги и контентный и...",['Дизайн сайтов'],,16 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/dizajn-sajta-na-vordpress-1031072/
Техническая оптимизация сайта на вордпресс,"Нужно удалить дубли, создать правильные robot.txt, sitemap, убрать ошибки и тд.",['Тестирование сайтов'],,13 заявок,https://www.weblancer.net/projects/testirovanie-sajtov-37/tehnicheskaya-optimizatciya-sajta-na-vordpress-1031071/
Видеосьемка,Нужен видеоператор для съёмки урока по ораторскому искусству. дата: 19.03.2020 СЕГОДНЯ время работы: 19:00 - 21:00 Монтаж не нужен адрес: м. Павелецкая - шаговая доступность Жду предложения по цене,['Видеомонтаж'],,нет заявок,https://www.weblancer.net/projects/videomontazh-41/videosyemka-1031069/
"Разаработать ""Рейтинг взаимодействия""",Создать форму в которой можно будет оценивать по 5 бальной шкале сотрудников. Система должна быть написана на knockout js В оценке принимают участие определенные пользователи входящие в группу в Activ...,['Веб-программирование'],,4 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/razarabotat-rejting-vzaimodejstviya-1031068/
Рестайлинг интернет магазина Opencart,"Имеется магазин на Opencart Нужно его освежить, переделать блоки, шрифты, местами верстку. Поставить актуальные модули. Дать рекомендации по работе магазина в синхронизации с приложением (будет разраб...",['Интернет-магазины'],,9 заявок,https://www.weblancer.net/projects/internet-magaziny-61/restajling-internet-magazina-opencart-1031067/
Доработка интернет-магазина (webasyst) shop-script 7,"Здравствуйте! нужен человек, который сможет доработать плагины и скрипты на платформе Webasyst (Shop-script) человек с опытом в данном движке. цена договорная.",['Веб-программирование'],,6 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/dorabotka-internet-magazina-webasyst-shop-script-7-1031066/
Логотип для магазина одежды,"Нужен логотип для магазина одежды ""Sport Shik"". Расположение горизонтальное. 1 версия: черный фон, цвет букв белый, логотип градиент в стиле instagram. 2 версия: белый фон, черный цвет букв,...",['Логотипы и\xa0Знаки'],12$,50 заявок,https://www.weblancer.net/projects/logotipy-i-znaki-7/logotip-dlya-magazina-odezhdy-1031062/
3д модель,Маска,['3D-графика'],15$,13 заявок,https://www.weblancer.net/projects/3d-grafika-12/3d-model-1031061/
Адаптивная верстка сайта,"Сверстать блок в уже существующий сайт. нужен спец своего дела, люди без отзывов не пишите. Буду выбирать исходя из соотношения - цена / качество",['HTML-верстка'],,16 заявок,https://www.weblancer.net/projects/html-verstka-32/adaptivnaya-verstka-sajta-1031060/
Xenforo  -  разрабатывать модули на php,"Привет всем девам пыхи, если есть настроение поработать над xenforo самой свежей редакции и опыт то пишите. Гляну ваши работы и модули потом можно будет обсудить: как связать этот форум и ИМ - нотифик...",['Системы управления (CMS)'],,2 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/xenforo-razrabatyvat-moduli-na-php-1031058/
Требуется перенос данных (копипаст),Необходимо перенести данные с одного сайта на другой методом: копировать-вставить,['Наполнение сайтов'],,53 заявки,https://www.weblancer.net/projects/napolnenie-sajtov-35/trebuetsya-perenos-dannyh-kopipast-1031057/
Наполнение сайта медицинского оборудования,"Мы ищем контент-менеджера для заполнения каталога и редактирования уже имеющихся позиций для сайта мед оборудования. Требования: 1. Знание основ HTML 2. Умение заполнять мета теги, мета описание, вста...",['Наполнение сайтов'],,32 заявки,https://www.weblancer.net/projects/napolnenie-sajtov-35/napolnenie-sajta-meditcinskogo-oborudovaniya-1031048/
Необходима seo консультация по проекту allstick.ru,"Приветствую! Необходима консультация, адекватная аналитика сайта (без навязывания дорогостоящих услуг по продвижению) и план/стратегия по органическому поисковому продвижению в различных регионах Росс...",['Поисковые системы (SEO)'],,11 заявок,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/neobhodima-seo-konsulytatciya-po-proektu-allstick-ru-1031050/
Парсинг данных из ЛК ГосУслуг PHP,Нужно авторизоваться в ЛК ГосУслуг по логину и паролю и взять данные с двух страниц.,['Веб-программирование'],,6 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/parsing-dannyh-iz-lk-gosuslug-php-1031049/
Генерация уникального промокода в карточке клиента amoCR,"Здравствуйте. Необходимо следующее: 1. Создаётся сделка, через сайт в амо 2. Сразу же генерируется уникальный промокод в карточку",['Веб-программирование'],,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/generatciya-unikalynogo-promokoda-v-kartochke-klienta-amocr-1031046/
Требуется написать парсер для сайта на Wordpress + ACF,"Требуется написать парсер для сайта на Wordpress + ACF Парсер должен быть многопоточный, с возможностью использования прокси серверов. PHP 7 + Multy Curl + Cron должен быть простейший раздел администр...",['Веб-программирование'],,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/trebuetsya-napisat-parser-dlya-sajta-na-wordpress-acf-1031045/
Ускорить работу сайта на хостинге,"Сайт – интернет магазин на базе 1С:Битрикс скорее всего требуется настройка кеширование и возможно другая оптимизация, чтобы время отклика сайта было минимальным, а также выдерживал наплыв посетителей...",['Веб-программирование'],,6 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/uskorit-rabotu-sajta-na-hostinge-1031042/
Создать сайт на Laravel + Vue + MySql,"Верстка есть (нужно будет доделать) Оставляйте телеграм, скину ТЗ. Поэтапная оплата.",['Сайты «под ключ»'],,25 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdat-sajt-na-laravel-vue-mysql-1031039/
Нужно настроить RemoteApp,"Добрый день. Есть WinServer2016 - контролер домена. На нем же парочка приложений (многопользовательских) ,к которым нужен доступ пользователей, работающих удаленно. Нужно настроить RemoteApp. Для наст...",['Системное администрирование'],,7 заявок,https://www.weblancer.net/projects/sistemnoe-administrirovanie-54/nuzhno-nastroit-remoteapp-1031037/
"Сделать скриншоты приложения на iPhone 11 Pro Max, iPhone Xs Max","Нужно скачать приложение apple testflight для тестирования приложений, загрузить приложение и сделать скриншоты для отправки приложения на модерацию. нужно сделать скриншоты на одном из следующих теле...",['Мобильные приложения'],5$,3 заявки,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/sdelat-skrinshoty-prilozheniya-na-iphone-11-pro-max-iphone-xs-max-1031036/
"Отрисовать несколько изображений в вектор, несложные","До 300 руб за изображение, простые изображения достаточно, под дальнейшее нанесение на одежду",['Иллюстрации и\xa0Рисунки'],,13 заявок,https://www.weblancer.net/projects/illyustratcii-i-risunki-11/otrisovat-neskolyko-izobrazhenij-v-vektor-neslozhnye-1031034/
Подготовить сайт к выгрузке товаров из 1С через CommerceML,"Всем, доброго времени суток. _ Сайт: www.mishok.com.ua (OpenCart) _ Задачи: * Подготовить сайт к выгрузке товаров из 1С через CommerceML. Наши специалисты по 1С уже работают над настройкой формировани...",['Интернет-магазины'],,3 заявки,https://www.weblancer.net/projects/internet-magaziny-61/podgotovit-sajt-k-vygruzke-tovarov-iz-1s-cherez-commerceml-1026370/
Нужно починить проект ZennoLab,"Нужно починить проект ZennoLab.Проект подает объявления на сайте ""r.onliner.by"". Однако, в последнее время перестал загружать фотографии, точнее, действие загрузки происходит, фотографии поя...",['Прикладное ПО'],,2 заявки,https://www.weblancer.net/projects/prikladnoe-po-23/nuzhno-pochinit-proekt-zennolab-1031028/
Из резервной копии тел восстановить инфо,"Восстановить нужно контакты, календарь и и.д. из локальной резервной копии телефона Xiaomi Redmi 3. Резервная копия, это несколько файлов (контейнеров) с расширением bak.",['Мобильные приложения'],,4 заявки,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/iz-rezervnoj-kopii-tel-vosstanovit-info-1031027/
Нужна программа для автоматической подачи объявлений на сайт,"Нужна программа для автоматической подачи объявлений на сайте ""baraholka.onliner.by"" Подробное описание ТЗ в в прикрепленном файле Excel. ВНИМАНИЕ! Внизу таблицы полное описание ТЗ. Программ...",['Прикладное ПО'],200$,5 заявок,https://www.weblancer.net/projects/prikladnoe-po-23/nuzhna-programma-dlya-avtomaticheskoj-podachi-obyyavlenij-na-sajt-1031025/
Срочно нужен специалист рассчитать  нагрузки на конструкции КМ,"Срочно нужен специалист кто сможет рассчитать нагрузки на простые конструкции КМ. Сами конструкции готовы, просто рассчитать и аргументировать формулами решения по выбранным сечениям проф трубы. Файлы...",['Чертежи и\xa0Схемы'],,8 заявок,https://www.weblancer.net/projects/chertezhi-i-shemy-78/srochno-nuzhen-spetcialist-rasschitat-nagruzki-na-konstruktcii-km-1031023/
Лого для iOS приложения,"Есть проект на стадии разработки, для него требуется лого (иконка которая отображается на экране приложений iPhone). Это фитнесс приложение для встреч офлайн атлетов с тренерами. Включает в себя множе...",['Логотипы и\xa0Знаки'],,40 заявок,https://www.weblancer.net/projects/logotipy-i-znaki-7/logo-dlya-ios-prilozheniya-1031022/
Продвижение фитнес клуба в одноклассниках,"Добрый день, уважаемые специалисты! Нужно запустить тестовую рекламную кампанию фитнес клуба в одноклассниках. Я владелец маркетингового агентства и нахожусь в поиске постоянных подрядчиков. В данный ...",['Социальные сети (SMM и\xa0SMO)'],,9 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/prodvizhenie-fitnes-kluba-v-odnoklassnikah-1031020/
Доработка шаблона на wordpress,Доработка шаблона на wordpress Пишите телеграм,['Системы управления (CMS)'],,13 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/dorabotka-shablona-na-wordpress-1031017/
Нужно нарисовать несколько персонажей,"Приветствую, коллеги - понадобилась помощь в создании персонажей в стиле SteamPunk. Подробности в личной переписке. Контакты есть в профиле.",['Иллюстрации и\xa0Рисунки'],,26 заявок,https://www.weblancer.net/projects/illyustratcii-i-risunki-11/nuzhno-narisovat-neskolyko-personazhej-1031015/
Реализовать API от круизной компании,Необходимо разработать API от круизной компании (https://fex.net/s/3cy4adf - ссылка на документацию) вот пример того как должно все выглядеть https://mscruise.com.ua/search/?sort=date&sort=date&am...,['Веб-программирование'],,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/realizovat-api-ot-kruiznoj-kompanii-1031014/
Сделать сайт для веб-студии,"Необходимо сделать сайт для веб-студии: разработка сайтов и продвижение сайтов. Сайт размещу на своем домене и будут активно искать клиентов: продвижение в поисковых системах, контекстная реклама, мес...",['Сайты «под ключ»'],50$,23 заявки,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sdelat-sajt-dlya-veb-studii-1031013/
"Виды, разрезы, сечения, аксонотерия","1/4 аксонометрия, найти Б-Б",['Машиностроение'],,18 заявок,https://www.weblancer.net/projects/mashinostroenie-77/vidy-razrezy-secheniya-aksonoteriya-1031010/
Сделать блог о путешествиях,"Нужно сделать сайт, что-то типа этого: https://bv-life.ru Присылайте свои работы и сколько будет стоить.",['Сайты «под ключ»'],,39 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sdelat-blog-o-puteshestviyah-1031008/
Аудит сайта,"Нужно составить план работ по сайту https://fortecup.ru на основе аудита. После аудита должен быть план работ понятный для выполнение специалистам, разъяснение приоритетности, что нам даст",['Поисковые системы (SEO)'],,27 заявок,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/audit-sajta-1031006/
Разработка интернет-магазина,"Сфера деятельности: продажа женской одежды Подробное ТЗ - нет Нравится сайт (функционал, дизайн): https://www.msgm.it Кол-во наименований товаров: до 50 (карточки товаров заполню по примеру) Использов...",['Интернет-магазины'],,43 заявки,https://www.weblancer.net/projects/internet-magaziny-61/razrabotka-internet-magazina-1031002/
Упаковать оффер,Надо максимально коротко сформировать предложение нашей компании для конкретной аудитории,['Наружная реклама'],,16 заявок,https://www.weblancer.net/projects/naruzhnaya-reklama-17/upakovat-offer-1030995/
Корректировки на простом сайте,"Добрый день. Необходимо сделать некоторые изменения на простом сайте. Исправить ошибки в коде, поработать с ошибками аудита в Хроме.",['Веб-программирование'],,11 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/korrektirovki-na-prostom-sajte-1031009/
Whatsapp рассылка,"Необходимо разослать 3.500.000 сообщений, моим клиентам",['Веб-программирование'],,4 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/whatsapp-rassylka-1031005/
Email рассылка,Необходимо разослать 3.500.000 писем по моим подписчикам,['Веб-программирование'],,3 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/email-rassylka-1031004/
